scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9540	0.1187	0.9915	1	22.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.9191	0.1992	0.9921	1	15.5
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.8029	0.4725	0.9762	1	15.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	0	0.9574	0.1141	0.9910	1	16.1
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	0	0.9547	0.1140	0.9914	1	16.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	0	0.7036	0.6366	0.9027	0	6.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9225	0.1821	0.9844	1	15.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.9123	0.1846	0.9860	1	16.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.7427	0.5396	0.9859	0	11.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	0	0.8917	0.3076	0.9815	1	16.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	0	0.8364	0.5343	0.9779	1	16.0
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9543	0.1194	0.9916	1	15.8
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.8698	0.5143	0.9800	0	13.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.9171	0.1110	0.9832	0	5.1
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9250	0.1813	0.9826	1	16.1
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.8561	0.5096	0.9816	1	16.4
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.6730	0.5992	0.9898	0	8.0
