scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9601	0.1145	0.9874	1	22.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.9110	0.3972	0.9867	1	15.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.7020	0.6490	0.9814	0	8.0
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	0	0.9591	0.1140	0.9913	1	16.1
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	0	0.8566	0.4385	0.9910	1	15.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	0	0.6612	0.6435	0.9515	0	6.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9254	0.1856	0.9872	1	15.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.8255	0.6289	0.9772	1	16.1
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.6897	0.6281	0.9478	0	5.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	0	0.8181	0.4418	0.9910	1	15.8
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	0	0.9223	0.2513	0.9756	1	15.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9536	0.1190	0.9920	1	16.2
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.9361	0.1678	0.9849	1	15.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.6695	0.4599	0.8729	0	8.0
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9211	0.1798	0.9812	1	15.4
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.8684	0.3659	0.9876	1	15.3
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.7718	0.4412	0.9371	0	6.1
