scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9537	0.1184	0.9913	1	22.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.8683	0.3054	0.9844	1	15.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.5889	0.6194	0.9628	0	7.8
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	0	0.9576	0.1145	0.9914	1	15.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	0	0.9209	0.1688	0.9921	1	15.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	0	0.6658	0.8281	0.9740	0	4.7
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9237	0.1872	0.9879	1	15.0
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.9206	0.1986	0.9901	1	15.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.6124	0.7189	0.9767	0	5.7
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	0	0.8729	0.4654	0.9859	1	15.8
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	0	0.9104	0.2389	0.9930	1	15.1
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	0	0.9555	0.1151	0.9880	1	15.8
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	0	0.8181	0.6117	0.9897	1	15.9
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	0	0.8260	0.2857	0.9259	0	9.5
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	0	0.9380	0.1885	0.9906	1	15.2
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	0	0.8249	0.3782	0.9650	1	15.9
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	0	0.6421	0.3880	0.8009	0	12.6
